Table,SubTable,Prefix,ProductId,ProductDescription,ProductStatus,Field,Type,Required,EnumName
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,Product,string,True,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.1,Unencumbered Assets,OK,BusinessLine,string,False,
Inflows,Assets,I.A,I.A.2,Capacity,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.2,Capacity,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.2,Capacity,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.2,Capacity,OK,Product,string,True,
Inflows,Assets,I.A,I.A.2,Capacity,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.2,Capacity,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.2,Capacity,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.2,Capacity,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.2,Capacity,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.2,Capacity,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.2,Capacity,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.2,Capacity,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.2,Capacity,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.2,Capacity,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.2,Capacity,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.2,Capacity,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.2,Capacity,OK,BusinessLine,string,False,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,Product,string,True,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.3,Unrestricted Reserve Balances,OK,BusinessLine,string,False,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,Product,string,True,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.4,Restricted Reserve Balances,OK,BusinessLine,string,False,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,Product,string,True,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.5,Unsettled Asset Purchases,OK,BusinessLine,string,False,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,Product,string,True,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.6,Forward Asset Purchases,OK,BusinessLine,string,False,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,ReportingEntity,string,True,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,Currency,enum,True,Currency
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,Converted,enum,True,YesNo
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,Product,string,True,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,SubProduct,string,False,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,MarketValue,money,False,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,LendableValue,money,False,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,ForwardStartAmount,money,False,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,CollateralClass,enum,False,CollateralClass
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,TreasuryControl,enum,False,YesNo
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,AccountingDesignation,enum,False,AccountingDesignation
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,InternalCounterparty,string,False,
Inflows,Assets,I.A,I.A.7,Encumbered Assets,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.1,Onshore Placements,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,GSIB,enum,False,YesNo
