,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Assets,,,Unsecured,,Secured,,Other,
,"Reporting Entity text
Product text",,,"Reporting Entity text
Product text",,"Reporting Entity text
Product text",,"Reporting Entity text
Product text",
,Sub-Product text,,,Counterparty text,,Sub-Product text,,Maturity Amount numeric,
,Market Value numeric,,,G-SIB text,,Maturity Amount numeric,,Maturity Bucket text,
,Lendable Value numeric,,,Maturity Amount numeric,,Maturity Bucket text,,Forward Start Amount numeric,
,Maturity Bucket text,,,Maturity Bucket text,,Maturity Optionality text,,Forward Start Bucket text,
,"Forward Start Amount numeric
Forward Start Bucket text",,,"Maturity Optionality text
Effective Maturity Bucket text",,"Effective Maturity Bucket text
Encumbrance Type text",,"Collateral Class text
Collateral Value numeric",
,Collateral Class text,,,Encumbrance Type text,,Forward Start Amount numeric,,Treasury Control text,
,Treasury Control text,,,Forward Start Amount numeric,,Forward Start Bucket text,,Counterparty text,
,Accounting Designation text,,,Forward Start Bucket text,,Collateral Class text,,G-SIB text,
,Effective Maturity Bucket text,,,Internal text,,Collateral Value numeric,,Internal text,
,Encumbrance Type text,,,Internal Counterparty text,,Unencumbered text,,Internal Counterparty text,
,Internal Counterparty text,,,Risk Weight percent,,Treasury Control text,,Business Line text,
,Business Line text,,,Business Line text,,Internal text,,,
,,,,,,Internal Counterparty text,,,
,,,,,,Risk Weight percent,,,
,,,,,,"Business Line text
Settlement text
Counterparty text",,,
,,,,,,G-SIB text,,,
,,,,,,,,,
