,(99) Foreign Central Banking Borrowing (§.32(k)),
Field,,Value
Reporting Entity,,LCR Firm
PID,,"O.S.1, 2, 3 (foreign central banks where the
sovereign has established an LCR outflow rate; if
the foreign central bank has not established an
outflow rate, then the outflow should be
calculated through the secured funding tables
above, see relevant footnotes above)"
Product,,Matches PID
Sub‐Product,,#
Maturity Amount,,*
Maturity Bucket,,<= 30 calendar days
Maturity Optionality,,#
Forward Start Amount,,NULL
Forward Start Bucket,,NULL
Collateral Class,,*
Collateral Value,,*
Treasury Control,,#
Internal,,#
Internal Counterparty,,#
Business Line,,#
Settlement,,#
Rehypothecated,,#
Counterparty,,Central Bank
G‐SIB,,#
