,(124) Margin Loans for Non-HQLA (§.33(f)(1)(vii)),
Field,,Value
Reporting Entity,,LCR Firm
PID,,I.S.5
Product,,Matches PID
Sub‐Product,,#
Maturity Amount,,*
Maturity Bucket,,<= 30 calendar days
Maturity Optionality,,#
Effective Maturity Bucket,,<= 30 calendar days or NULL but not Open
Encumbrance Type,,#
Forward Start Amount,,NULL
Forward Start Bucket,,NULL
Collateral Class,,Non‐HQLA
Collateral Value,,#
Unencumbered,,#
Treasury Control,,#
Internal,,#
Internal Counterparty,,#
Risk Weight,,#
Business Line,,#
Settlement,,#
Counterparty,,Not Retail or Small Business
G‐SIB,,#
