,(6) O.W. PIDs for item 1.c,
Field,,Value
Reporting Entity,,FR Y‐15 Firm
PID,,"O.W.9, 10, 17, 18, 19"
Product,,Matches PID
Counterparty,,"Non‐Financial Corporate, Sovereign, Central
Bank, GSE, PSE, MDB, Other Supranational, Debt
Issuing SPE, Other"
G‐SIB,,#
Maturity Amount,,*
Maturity Bucket,,"Column A: <=30 days
Column B: 31 to 90 days
Column C: 91 to 180 days
Column D: 181 days to 1 yr"
Maturity Optionality,,#
Collateral Class,,NULL or Other
Collateral Value,,NULL
Forward Start Amount,,NULL
Forward Start Bucket,,NULL
Internal,,#
Internal Counterparty,,#
Loss Absorbency,,#
Business Line,,#
