,(14) O.S. PIDs for item 3.a,
Field,,Value
Reporting Entity,,FR Y‐15 Firm
PID,,"O.S.1, 2, 3, 5, 6, 7 and 11"
Product,,Matches PID
Sub‐Product,,"For O.S.7, cannot be Unsettled (Regular Way) or
Unsettled (Forward), # otherwise"
Maturity Amount,,*
Maturity Bucket,,"Column A: <=30 days
Column B: 31 to 90 days
Column C: 91 to 180 days
Column D: 181 days to 1 yr"
Maturity Optionality,,#
Forward Start Amount,,NULL
Forward Start Bucket,,NULL
Collateral Class,,Level 2B HQLA
Collateral Value,,#
Treasury Control,,#
Internal,,#
Internal Counterparty,,#
Business Line,,#
Settlement,,#
Rehypothecated,,#
Counterparty,,Not Retail or Small Business
G‐SIB,,#
