,(16) O.S. PIDs for item 3.b,
Field,,Value
Reporting Entity,,FR Y‐15 Firm
PID,,I.S.4
Product,,Matches PID
Sub‐Product,,"Level 2b Pledged, Non‐HQLA Pledged, No
Collateral Pledged"
Maturity Amount,,#
Maturity Bucket,,"Column A: <=30 days
Column B: 31 to 90 days
Column C: 91 to 180 days
Column D: 181 days to 1 yr"
Maturity Optionality,,#
Effective Maturity Bucket,,#
Encumbrance Type,,#
Forward Start Amount,,NULL
Forward Start Bucket,,NULL
Collateral Class,,"For Sub‐Product value of Level 2b Pledged: Level 1
or Level 2A HQLA; For Sub‐Product values of Non‐
HQLA Pledged and No Collateral Pledged: all HQLA"
Collateral Value,,*
Unencumbered,,#
Treasury Control,,#
Internal,,#
Internal Counterparty,,#
Risk Weight,,#
Business Line,,#
Settlement,,#
Counterparty,,#
G‐SIB,,#
