Product,Matches PID
Sub‐Product,"For O.S.7, cannot be Unsettled (Regular Way) or
Unsettled (Forward), # otherwise"
Maturity Amount,*
Maturity Bucket,"Column A: <=30 days
Column B: 31 to 90 days
Column C: 91 to 180 days
Column D: 181 days to 1 yr"
Maturity Optionality,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,Other
Collateral Value,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Business Line,#
Settlement,#
Rehypothecated,#
Counterparty,"Pension Fund, Bank, Broker‐Dealer, Investment
Company or Advisor, Financial Market Utility,
Other Supervised Non‐Bank Financial Entity, Non‐
Regulated Fund"
G‐SIB,#
