(50) Secured lending to central banks maturing in < 6 months,
(§.106(a)(1)(iii) & (iv)),
,
Field,Value
Reporting Entity,NSFR Entity
PID,"I.S.1, 2, 3, 5 – 8"
Product,Matches PID
Sub-Product,#
Counterparty,Central Bank
G-SIB,#
Maturity Amount,*
Maturity Bucket,< 6 Months
Maturity Optionality,#
Effective Maturity Bucket,< 6 Months or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,#
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
